month,no_of_article,mvolume,mprice
2015/1/1,20,4568264.86,1.29
2015/2/1,19,5179011.73,1.29
2015/3/1,14,5941749.46,1.336
2015/4/1,24,4956836.51,1.425
2015/5/1,31,8061491.37,1.354
2015/6/1,20,6046010.64,1.32
2015/7/1,15,5468758.3,1.275
2015/8/1,16,7287664.27,1.14
2015/9/1,26,5213537.35,1.18
2015/10/1,21,5346630.19,1.185
2015/11/1,22,7055148.48,1.106
2015/12/1,18,4593000.86,1.18
2016/1/1,22,7703489.39,1.11
2016/2/1,17,6918713.98,1.1
2016/3/1,16,6194830.36,1.205
2016/4/1,18,4977348.8,1.15
2016/5/1,21,9397175.47,1.07
2016/6/1,21,5927986.71,1.4025
2016/7/1,27,5925720.7,1.612
2016/8/1,17,5080208.67,1.52
2016/9/1,21,5006742.1,1.4625
2016/10/1,10,4484682.34,1.862
2016/11/1,15,3661059.21,1.745
2016/12/1,5,4453538.42,1.365
2017/1/1,18,6849803.41,1.422
2017/2/1,17,6793392.29,1.315
2017/3/1,12,4940040.82,1.6425
2017/4/1,19,6197649.84,1.754
2017/5/1,30,5883634.69,1.7375
2017/6/1,16,5473406.07,1.715
2017/7/1,16,6688096.05,1.598
2017/8/1,24,4702835.67,1.675
2017/9/1,18,4562381.69,1.6675
2017/10/1,24,5954959.25,1.63
2017/11/1,18,4987546.14,1.43
2017/12/1,19,7198480.24,1.326
2018/1/1,22,6995601.47,1.4525
2018/2/1,23,8039943.89,1.2725
2018/3/1,28,7026184.44,1.3375